review_id,content,dnn_score,bert_sentiment,qos_score,stream_quality,buffering_time
86,Great times with fun people. T...,1,Negative,0.7,Medium,Medium
87,The best to stream...,1,Positive,1.0,High,Low
88,👌...,1,Positive,1.0,High,Low
89,I haven't found more close mee...,1,Positive,1.0,High,Low
90,What the hell this is twitch n...,1,Positive,1.0,High,Low
91,Watching a stream on audio onl...,0,Positive,0.3,Low,High
92,Fantastic gaming aop...,1,Negative,0.7,Medium,Medium
93,I liked it but I only give it ...,0,Positive,0.3,Low,High
94,I love streaming very easy and...,0,Negative,0.0,Low,High
95,I am now entirely unable tolog...,0,Negative,0.0,Low,High
96,Why is it that after a ad the ...,0,Negative,0.0,Low,High
97,"Really enjoy twitch, very fun....",0,Negative,0.0,Low,High
98,There's a little bit of stream...,1,Positive,1.0,High,Low
99,Doesn't even send an OTP when ...,1,Positive,1.0,High,Low
